,Source,Target,Weight,Type
1,A_Midsummer_Nights_Dream,shakespeare-loves-8,3,undirected
2,A_Midsummer_Nights_Dream,shakespeare-merchant-5,1,undirected
3,A_Midsummer_Nights_Dream,shakespeare-midsummer-16,6,undirected
4,fallushr,shakespeare-comedy-7,3,undirected
5,fallushr,shakespeare-loves-8,2,undirected
6,fallushr,shakespeare-merchant-5,1,undirected
7,shakespeare-alls-11,shakespeare-as-12,3,undirected
8,shakespeare-alls-11,shakespeare-merchant-5,4,undirected
9,shakespeare-alls-11,shakespeare-much-3,2,undirected
10,shakespeare-as-12,shakespeare-alls-11,3,undirected
11,shakespeare-as-12,shakespeare-comedy-7,2,undirected
12,shakespeare-as-12,shakespeare-merchant-5,6,undirected
13,shakespeare-as-12,shakespeare-merry-15,1,undirected
14,shakespeare-as-12,shakespeare-much-3,4,undirected
15,shakespeare-comedy-7,fallushr,3,undirected
16,shakespeare-comedy-7,shakespeare-as-12,2,undirected
17,shakespeare-comedy-7,shakespeare-loves-8,1,undirected
18,shakespeare-comedy-7,shakespeare-merchant-5,3,undirected
19,shakespeare-loves-8,A_Midsummer_Nights_Dream,3,undirected
20,shakespeare-loves-8,fallushr,2,undirected
21,shakespeare-loves-8,shakespeare-comedy-7,1,undirected
22,shakespeare-loves-8,shakespeare-merchant-5,3,undirected
23,shakespeare-loves-8,shakespeare-midsummer-16,4,undirected
24,shakespeare-merchant-5,A_Midsummer_Nights_Dream,1,undirected
25,shakespeare-merchant-5,fallushr,1,undirected
26,shakespeare-merchant-5,shakespeare-alls-11,4,undirected
27,shakespeare-merchant-5,shakespeare-as-12,6,undirected
28,shakespeare-merchant-5,shakespeare-comedy-7,3,undirected
29,shakespeare-merchant-5,shakespeare-loves-8,3,undirected
30,shakespeare-merchant-5,shakespeare-merry-15,3,undirected
31,shakespeare-merchant-5,shakespeare-midsummer-16,1,undirected
32,shakespeare-merchant-5,shakespeare-much-3,5,undirected
33,shakespeare-merry-15,shakespeare-as-12,1,undirected
34,shakespeare-merry-15,shakespeare-merchant-5,3,undirected
35,shakespeare-merry-15,shakespeare-much-3,2,undirected
36,shakespeare-midsummer-16,A_Midsummer_Nights_Dream,6,undirected
37,shakespeare-midsummer-16,shakespeare-loves-8,4,undirected
38,shakespeare-midsummer-16,shakespeare-merchant-5,1,undirected
39,shakespeare-much-3,shakespeare-alls-11,2,undirected
40,shakespeare-much-3,shakespeare-as-12,4,undirected
41,shakespeare-much-3,shakespeare-merchant-5,5,undirected
42,shakespeare-much-3,shakespeare-merry-15,2,undirected
